backbone,condition,cosine_stability
resnet,eval_grayscale,0.7932242155075073
resnet,eval_colorswap,0.967432975769043
resnet,eval_patchshuffle,0.7167280912399292
resnet,translate_d0,1.0
resnet,translate_d8,0.9689897000789642
resnet,translate_d16,0.9533058106899261
resnet,translate_d32,0.9330887943506241
resnet,cue_conflict,0.40086960792541504
vit,eval_grayscale,0.7432089447975159
vit,eval_colorswap,0.9750070571899414
vit,eval_patchshuffle,0.6655179262161255
vit,translate_d0,1.0
vit,translate_d8,0.9471872001886368
vit,translate_d16,0.9746794402599335
vit,translate_d32,0.9428701251745224
vit,cue_conflict,0.39816761016845703
clip,eval_grayscale,0.8998957276344299
clip,eval_colorswap,0.9815659523010254
clip,eval_patchshuffle,0.7289372682571411
clip,translate_d0,1.0
clip,translate_d8,0.980076789855957
clip,translate_d16,0.9670033156871796
clip,translate_d32,0.9691137969493866
clip,cue_conflict,0.7229729294776917
