unknown_group,true_cifar100_class,predicted_known_class,score,threshold
near,pickup_truck,automobile,-11.674652099609375,-5.890665531158447
near,pickup_truck,automobile,-11.501334190368652,-5.890665531158447
near,bus,truck,-11.448713302612305,-5.890665531158447
near,pickup_truck,automobile,-11.399665832519531,-5.890665531158447
near,pickup_truck,automobile,-11.189752578735352,-5.890665531158447
far,chair,cat,-10.752703666687012,-5.890665531158447
far,keyboard,truck,-10.690528869628906,-5.890665531158447
far,bowl,cat,-10.661982536315918,-5.890665531158447
far,keyboard,bird,-10.571770668029785,-5.890665531158447
far,wardrobe,cat,-10.497035026550293,-5.890665531158447
