group,unknown_class,predicted_known_class
near,wolf,cat
near,pickup_truck,automobile
near,pickup_truck,automobile
near,leopard,cat
near,camel,horse
near,tractor,ship
near,bus,truck
near,pickup_truck,automobile
near,pickup_truck,truck
near,pickup_truck,truck
near,bus,truck
near,pickup_truck,truck
near,wolf,cat
near,tractor,ship
near,fox,horse
near,wolf,dog
near,pickup_truck,truck
near,tractor,truck
near,leopard,frog
near,tractor,truck
near,tractor,automobile
near,leopard,cat
near,camel,bird
near,tractor,truck
near,fox,dog
near,fox,cat
near,pickup_truck,automobile
near,motorcycle,automobile
near,pickup_truck,automobile
near,pickup_truck,truck
near,leopard,cat
near,pickup_truck,automobile
near,bus,automobile
near,wolf,cat
near,camel,dog
near,wolf,cat
near,fox,dog
near,wolf,dog
near,camel,bird
near,wolf,dog
near,motorcycle,cat
near,bus,truck
near,camel,airplane
near,motorcycle,automobile
near,pickup_truck,truck
near,pickup_truck,automobile
near,wolf,dog
near,camel,bird
near,bus,truck
near,wolf,cat
near,camel,horse
near,camel,cat
near,tractor,truck
near,wolf,cat
near,bus,truck
near,fox,dog
near,fox,dog
near,motorcycle,truck
near,wolf,dog
near,bus,truck
near,camel,horse
near,tractor,truck
near,motorcycle,cat
near,fox,deer
near,pickup_truck,automobile
near,pickup_truck,truck
near,camel,deer
near,pickup_truck,automobile
near,motorcycle,automobile
near,fox,dog
near,tractor,truck
near,bus,truck
near,fox,deer
near,leopard,frog
near,pickup_truck,automobile
near,leopard,cat
near,wolf,cat
near,fox,dog
near,fox,deer
near,bus,automobile
near,fox,dog
near,bus,truck
near,motorcycle,automobile
near,motorcycle,truck
near,bus,truck
near,bus,truck
near,pickup_truck,automobile
near,fox,cat
near,camel,deer
near,wolf,dog
near,pickup_truck,automobile
near,camel,deer
near,camel,airplane
near,fox,cat
near,bus,truck
near,motorcycle,automobile
near,camel,dog
near,fox,deer
near,wolf,cat
near,leopard,deer
near,fox,dog
near,leopard,deer
near,tractor,truck
near,camel,dog
near,pickup_truck,truck
near,wolf,dog
near,tractor,truck
near,bus,automobile
near,leopard,frog
near,pickup_truck,automobile
near,tractor,truck
near,camel,horse
near,wolf,dog
near,motorcycle,automobile
near,pickup_truck,automobile
near,wolf,bird
near,tractor,truck
near,tractor,truck
near,camel,horse
near,bus,automobile
near,wolf,dog
near,camel,horse
near,pickup_truck,automobile
near,fox,deer
near,wolf,horse
near,wolf,cat
near,fox,deer
near,fox,dog
near,pickup_truck,automobile
near,pickup_truck,truck
near,fox,cat
near,bus,truck
near,fox,deer
near,fox,deer
near,pickup_truck,truck
near,leopard,cat
near,bus,truck
near,pickup_truck,automobile
near,wolf,dog
near,tractor,truck
near,leopard,bird
near,bus,truck
near,tractor,truck
near,leopard,frog
near,bus,automobile
near,camel,deer
near,bus,truck
near,fox,cat
near,wolf,deer
near,fox,deer
near,bus,truck
near,camel,deer
near,wolf,cat
near,bus,truck
near,pickup_truck,automobile
near,fox,dog
near,tractor,ship
near,wolf,cat
near,camel,dog
near,camel,deer
near,tractor,truck
near,wolf,dog
near,bus,truck
near,motorcycle,airplane
near,leopard,cat
near,bus,truck
near,tractor,truck
near,bus,truck
near,leopard,horse
near,wolf,cat
near,bus,truck
near,bus,truck
near,leopard,cat
near,leopard,deer
near,fox,deer
near,motorcycle,automobile
near,bus,truck
near,tractor,truck
near,wolf,dog
near,tractor,truck
near,pickup_truck,automobile
near,wolf,dog
near,leopard,deer
near,motorcycle,automobile
near,leopard,cat
near,fox,cat
near,fox,deer
near,fox,deer
near,wolf,dog
near,pickup_truck,truck
near,fox,deer
near,pickup_truck,automobile
near,wolf,cat
near,bus,truck
near,motorcycle,automobile
near,wolf,dog
near,motorcycle,truck
near,wolf,dog
near,motorcycle,cat
near,bus,truck
near,fox,cat
near,wolf,dog
near,fox,dog
near,camel,horse
near,tractor,truck
near,wolf,cat
near,bus,automobile
near,wolf,cat
near,wolf,dog
near,bus,truck
near,fox,cat
near,tractor,truck
near,bus,truck
near,fox,cat
near,fox,cat
near,bus,airplane
near,tractor,truck
near,leopard,frog
near,wolf,cat
near,bus,truck
near,bus,truck
near,bus,truck
near,camel,deer
near,leopard,dog
near,fox,deer
near,fox,cat
near,wolf,dog
near,wolf,dog
near,bus,truck
near,bus,truck
near,fox,cat
near,pickup_truck,truck
near,leopard,cat
near,pickup_truck,truck
near,fox,airplane
near,camel,dog
near,wolf,dog
near,pickup_truck,automobile
near,tractor,truck
near,bus,truck
near,bus,truck
near,camel,dog
near,fox,dog
near,motorcycle,airplane
near,pickup_truck,automobile
near,bus,automobile
near,wolf,cat
near,pickup_truck,automobile
near,pickup_truck,automobile
near,camel,bird
near,bus,automobile
near,pickup_truck,automobile
near,wolf,dog
near,leopard,frog
near,tractor,truck
near,leopard,frog
near,fox,deer
near,tractor,truck
near,leopard,cat
near,tractor,truck
near,pickup_truck,automobile
near,fox,deer
near,tractor,truck
near,camel,bird
near,bus,truck
near,fox,deer
near,bus,automobile
near,bus,airplane
near,pickup_truck,automobile
near,pickup_truck,automobile
near,pickup_truck,automobile
near,fox,horse
near,camel,cat
near,bus,truck
near,pickup_truck,automobile
near,pickup_truck,automobile
near,bus,truck
near,leopard,deer
near,tractor,truck
near,camel,deer
near,camel,airplane
near,wolf,dog
near,fox,cat
near,pickup_truck,automobile
near,camel,bird
near,pickup_truck,automobile
near,leopard,cat
near,pickup_truck,truck
near,motorcycle,truck
near,bus,truck
near,motorcycle,truck
near,bus,truck
near,bus,truck
near,leopard,frog
near,camel,deer
near,camel,dog
near,camel,dog
near,wolf,dog
near,camel,horse
near,leopard,cat
near,pickup_truck,automobile
near,tractor,truck
near,leopard,deer
near,motorcycle,truck
near,leopard,cat
near,wolf,cat
near,wolf,dog
near,pickup_truck,truck
near,tractor,truck
near,leopard,frog
near,leopard,cat
near,motorcycle,automobile
near,bus,truck
near,leopard,cat
near,camel,horse
near,tractor,truck
near,camel,horse
near,camel,deer
near,tractor,truck
near,pickup_truck,truck
near,motorcycle,automobile
near,motorcycle,airplane
near,fox,cat
near,bus,truck
near,bus,automobile
near,tractor,truck
near,leopard,frog
near,pickup_truck,automobile
near,fox,bird
near,pickup_truck,automobile
near,pickup_truck,truck
near,pickup_truck,automobile
near,bus,truck
near,pickup_truck,automobile
near,camel,bird
near,wolf,cat
near,tractor,horse
near,fox,deer
near,bus,truck
near,fox,deer
near,pickup_truck,automobile
near,bus,truck
near,pickup_truck,automobile
near,wolf,deer
near,leopard,cat
near,pickup_truck,automobile
near,fox,dog
near,bus,truck
near,wolf,cat
near,wolf,cat
near,fox,cat
near,fox,deer
near,bus,truck
near,wolf,dog
near,motorcycle,automobile
near,leopard,cat
near,wolf,dog
near,bus,truck
near,tractor,automobile
near,motorcycle,automobile
near,leopard,frog
near,tractor,truck
near,leopard,frog
near,leopard,cat
near,camel,bird
near,camel,deer
near,tractor,truck
near,wolf,dog
near,wolf,cat
near,motorcycle,automobile
near,fox,deer
near,wolf,dog
near,pickup_truck,automobile
near,camel,dog
near,pickup_truck,automobile
near,fox,cat
near,bus,truck
near,motorcycle,airplane
near,wolf,cat
near,camel,dog
near,tractor,truck
near,fox,dog
near,tractor,truck
near,leopard,frog
near,tractor,truck
near,motorcycle,truck
near,wolf,dog
near,tractor,truck
near,wolf,cat
near,leopard,cat
near,wolf,cat
near,motorcycle,automobile
near,pickup_truck,truck
near,wolf,cat
near,camel,horse
near,pickup_truck,automobile
near,bus,truck
near,wolf,dog
near,camel,deer
near,camel,bird
near,pickup_truck,automobile
near,motorcycle,truck
near,fox,cat
near,fox,dog
near,motorcycle,automobile
near,motorcycle,automobile
near,camel,horse
near,wolf,dog
near,fox,dog
near,leopard,cat
near,wolf,cat
near,bus,truck
near,pickup_truck,automobile
near,leopard,cat
near,leopard,cat
near,bus,truck
near,camel,deer
near,wolf,horse
near,leopard,deer
near,fox,horse
near,tractor,truck
near,bus,truck
near,pickup_truck,automobile
near,wolf,cat
near,fox,dog
near,motorcycle,automobile
near,pickup_truck,truck
near,wolf,deer
near,tractor,truck
near,leopard,cat
near,fox,deer
near,motorcycle,automobile
near,pickup_truck,automobile
near,tractor,truck
near,camel,bird
near,wolf,cat
near,leopard,deer
near,bus,truck
near,bus,truck
near,pickup_truck,automobile
near,pickup_truck,automobile
near,wolf,cat
near,tractor,truck
near,pickup_truck,automobile
near,fox,cat
near,fox,cat
near,wolf,dog
near,tractor,airplane
near,pickup_truck,automobile
near,bus,truck
near,fox,horse
near,wolf,cat
near,fox,deer
near,bus,automobile
near,fox,dog
near,camel,cat
near,fox,cat
near,pickup_truck,automobile
near,fox,deer
near,fox,cat
near,pickup_truck,automobile
near,tractor,truck
near,motorcycle,truck
near,leopard,cat
near,tractor,truck
near,leopard,frog
near,pickup_truck,truck
near,wolf,cat
near,wolf,cat
near,leopard,cat
near,pickup_truck,automobile
near,motorcycle,automobile
near,pickup_truck,automobile
near,pickup_truck,automobile
near,wolf,dog
near,tractor,ship
near,camel,deer
near,bus,truck
near,fox,dog
near,camel,bird
near,bus,truck
near,bus,truck
near,leopard,frog
near,wolf,dog
near,fox,cat
near,bus,truck
near,fox,cat
near,fox,cat
near,camel,horse
near,camel,dog
near,leopard,frog
near,wolf,dog
near,bus,truck
near,pickup_truck,truck
near,pickup_truck,automobile
near,bus,automobile
near,pickup_truck,automobile
near,tractor,ship
near,motorcycle,airplane
near,camel,cat
near,motorcycle,automobile
near,tractor,truck
near,pickup_truck,automobile
near,tractor,truck
near,pickup_truck,automobile
near,camel,horse
near,camel,horse
near,fox,cat
near,leopard,cat
near,tractor,truck
near,wolf,cat
near,bus,truck
near,leopard,frog
near,bus,truck
near,tractor,truck
near,leopard,frog
near,camel,dog
near,tractor,truck
near,motorcycle,automobile
near,camel,horse
near,pickup_truck,truck
near,pickup_truck,automobile
near,pickup_truck,automobile
near,pickup_truck,automobile
near,pickup_truck,automobile
near,fox,cat
near,pickup_truck,truck
near,bus,truck
near,bus,truck
near,leopard,frog
near,wolf,cat
near,leopard,frog
near,motorcycle,automobile
near,pickup_truck,automobile
near,pickup_truck,automobile
near,tractor,automobile
near,tractor,truck
near,camel,dog
near,wolf,cat
near,wolf,cat
near,tractor,automobile
near,bus,automobile
near,motorcycle,automobile
near,bus,truck
near,fox,deer
near,pickup_truck,truck
near,pickup_truck,automobile
near,pickup_truck,truck
near,wolf,dog
near,pickup_truck,automobile
near,bus,truck
near,leopard,cat
near,wolf,dog
near,wolf,dog
near,tractor,truck
far,chair,airplane
far,sunflower,dog
far,bowl,truck
far,bowl,bird
far,chair,cat
far,keyboard,frog
far,mushroom,bird
far,chair,truck
far,bowl,automobile
far,bottle,ship
far,wardrobe,cat
far,wardrobe,truck
far,mushroom,airplane
far,bowl,cat
far,wardrobe,truck
far,bottle,ship
far,bowl,cat
far,wardrobe,truck
far,bowl,cat
far,mushroom,deer
far,bowl,automobile
far,sunflower,frog
far,bowl,ship
far,sunflower,bird
far,chair,ship
far,clock,ship
far,sunflower,ship
far,wardrobe,cat
far,clock,truck
far,bowl,frog
far,sunflower,bird
far,keyboard,horse
far,wardrobe,truck
far,keyboard,truck
far,bowl,cat
far,bowl,automobile
far,chair,cat
far,keyboard,cat
far,clock,dog
far,bowl,dog
far,bottle,bird
far,bottle,truck
far,bowl,frog
far,keyboard,cat
far,sunflower,truck
far,bottle,cat
far,mushroom,bird
far,mushroom,frog
far,sunflower,bird
far,bottle,truck
far,wardrobe,cat
far,wardrobe,truck
far,clock,automobile
far,chair,airplane
far,bottle,airplane
far,mushroom,bird
far,keyboard,cat
far,bottle,ship
far,sunflower,frog
far,keyboard,cat
far,bottle,bird
far,clock,truck
far,wardrobe,truck
far,bowl,cat
far,chair,cat
far,mushroom,frog
far,wardrobe,cat
far,bowl,cat
far,wardrobe,cat
far,clock,truck
far,wardrobe,truck
far,chair,airplane
far,clock,automobile
far,keyboard,ship
far,keyboard,cat
far,sunflower,truck
far,chair,airplane
far,wardrobe,truck
far,chair,truck
far,keyboard,cat
far,clock,automobile
far,bowl,cat
far,bowl,frog
far,bottle,automobile
far,bowl,cat
far,wardrobe,truck
far,clock,ship
far,clock,airplane
far,bottle,cat
far,clock,dog
far,sunflower,dog
far,bottle,truck
far,keyboard,truck
far,chair,truck
far,chair,horse
far,mushroom,bird
far,bowl,cat
far,wardrobe,truck
far,keyboard,truck
far,sunflower,bird
far,bowl,cat
far,bowl,cat
far,sunflower,frog
far,bottle,ship
far,sunflower,frog
far,sunflower,bird
far,wardrobe,truck
far,mushroom,cat
far,bottle,truck
far,chair,airplane
far,mushroom,dog
far,sunflower,cat
far,wardrobe,cat
far,wardrobe,truck
far,bottle,cat
far,wardrobe,truck
far,chair,airplane
far,clock,automobile
far,bottle,bird
far,bottle,ship
far,keyboard,truck
far,chair,automobile
far,chair,airplane
far,bowl,airplane
far,mushroom,frog
far,chair,airplane
far,keyboard,cat
far,bowl,automobile
far,wardrobe,cat
far,sunflower,cat
far,sunflower,bird
far,mushroom,frog
far,bowl,dog
far,bottle,ship
far,chair,bird
far,keyboard,airplane
far,keyboard,cat
far,keyboard,automobile
far,wardrobe,truck
far,wardrobe,truck
far,bowl,cat
far,bowl,ship
far,sunflower,bird
far,wardrobe,cat
far,wardrobe,truck
far,keyboard,bird
far,keyboard,airplane
far,bottle,cat
far,wardrobe,truck
far,bowl,dog
far,mushroom,cat
far,mushroom,frog
far,wardrobe,cat
far,wardrobe,cat
far,wardrobe,truck
far,sunflower,dog
far,chair,airplane
far,chair,bird
far,wardrobe,cat
far,clock,cat
far,keyboard,cat
far,chair,airplane
far,wardrobe,truck
far,chair,airplane
far,wardrobe,cat
far,bowl,cat
far,chair,airplane
far,bottle,cat
far,bowl,automobile
far,wardrobe,cat
far,wardrobe,cat
far,bowl,frog
far,wardrobe,truck
far,clock,dog
far,chair,airplane
far,clock,truck
far,chair,airplane
far,wardrobe,bird
far,sunflower,bird
far,keyboard,cat
far,bottle,truck
far,bowl,automobile
far,keyboard,automobile
far,chair,bird
far,bowl,ship
far,chair,cat
far,wardrobe,truck
far,mushroom,deer
far,bottle,ship
far,mushroom,bird
far,keyboard,frog
far,sunflower,cat
far,sunflower,frog
far,wardrobe,cat
far,bowl,dog
far,chair,airplane
far,sunflower,cat
far,mushroom,cat
far,sunflower,bird
far,bowl,automobile
far,clock,dog
far,mushroom,deer
far,clock,bird
far,mushroom,deer
far,clock,cat
far,wardrobe,truck
far,keyboard,frog
far,mushroom,airplane
far,wardrobe,truck
far,mushroom,bird
