epoch,loss,val_acc
0,1.8979630890217694,0.4608
1,1.3494964739815756,0.5334
2,1.0616111186417667,0.6042
3,0.8914964607154782,0.6942
4,0.7508648012510755,0.6866
5,0.6580560196360404,0.7524
6,0.5927471515129913,0.7554
7,0.5517483172430233,0.7512
8,0.5210413959893313,0.8058
9,0.48849666956812143,0.802
10,0.4720926681025462,0.8172
11,0.44949715745381336,0.7836
12,0.4447312213649804,0.7962
13,0.4323772033676505,0.7762
14,0.41928160105916584,0.7876
15,0.4108812041072683,0.7778
16,0.3947791718793186,0.8356
17,0.3847327703948725,0.8216
18,0.3803523949516768,0.8222
19,0.3715533925305036,0.787
20,0.36550496209582145,0.8322
21,0.3574144961735742,0.8288
22,0.34494901135225187,0.7918
23,0.3485120871866291,0.8324
24,0.34109674571928655,0.8498
25,0.33828518124805257,0.8786
26,0.3255866138179871,0.8284
27,0.3223634450696409,0.843
28,0.315709506415508,0.8422
29,0.31639997275884857,0.8752
30,0.308555061632598,0.8418
31,0.30248194632374426,0.8386
32,0.2957449041476304,0.8758
33,0.28985844514417375,0.8842
34,0.2889303890564902,0.8414
35,0.2838038546456532,0.8802
36,0.27529903765852476,0.8194
37,0.27570251117206435,0.8266
38,0.2622824049639431,0.849
39,0.2572529466441748,0.8782
40,0.25660756293853576,0.8566
41,0.2509797372304919,0.8748
42,0.2456376566974954,0.8798
43,0.2390924920962954,0.8854
44,0.235032975948839,0.858
45,0.228084400634874,0.8928
46,0.2271883985535665,0.8796
47,0.2192990097682923,0.8992
48,0.2070440949914469,0.8832
49,0.21462259454314003,0.8868
50,0.19495742641050706,0.8636
51,0.19842693789608098,0.902
52,0.1853329827797345,0.8986
53,0.18291342120871626,0.8796
54,0.17342464568686078,0.8938
55,0.1747995714381845,0.8794
56,0.1624561291695996,0.8948
57,0.15744501289869237,0.8946
58,0.15192899564069443,0.8932
59,0.14907398600850932,0.903
60,0.13502817950211465,0.8774
61,0.12956839097684927,0.8962
62,0.12654136124977164,0.903
63,0.11270996905461123,0.918
64,0.11908122982342982,0.9052
65,0.10618872039379891,0.9098
66,0.09983294463547115,0.8972
67,0.09223819370064038,0.92
68,0.08682609925215895,0.9112
69,0.07902635618599808,0.9206
70,0.0727353830112737,0.9214
71,0.06790656769986857,0.9224
72,0.05875430687658743,0.9306
73,0.05434595286285251,0.9202
74,0.04983095038121312,0.9346
75,0.04264838216344784,0.9316
76,0.03858131053725215,0.9346
77,0.03255491849003275,0.9378
78,0.026729338996202303,0.9408
79,0.02205737294240283,0.9398
80,0.015766917921692682,0.9438
81,0.012359706023496321,0.944
82,0.010833033612553581,0.9448
83,0.007743330178941092,0.9442
84,0.006977299155551009,0.951
85,0.005455047269193033,0.9484
86,0.004564811201072933,0.9472
87,0.004394283705716423,0.9498
88,0.0037262426164736758,0.9502
89,0.003240760972568585,0.9512
90,0.0029531383567121916,0.9526
91,0.002687180694258793,0.9544
92,0.0023873214618519837,0.9532
93,0.0024670316670381,0.9522
94,0.0025125279879086356,0.9544
95,0.0025172488173914394,0.9546
96,0.0022365052895607237,0.9528
97,0.0023624810073670233,0.9522
98,0.0021790949472646885,0.9546
99,0.0024057925155912844,0.953
